Gene,SetType,DiseaseType
1,disease,Syndrome1
29974,disease,Syndrome1
144568,disease,Syndrome1
16,disease,Syndrome1
18,disease,Syndrome1
19,disease,Syndrome1
10349,disease,Syndrome1
26154,disease,Syndrome1
154664,disease,Syndrome1
20,disease,Syndrome1
21,disease,Syndrome1
24,disease,Syndrome1
23461,disease,Syndrome1
10347,disease,Syndrome1
10350,disease,Syndrome1
23456,disease,Syndrome1
22885,disease,Syndrome1
34,disease,Syndrome1
84320,disease,Syndrome1
43,disease,Syndrome1
51,disease,Syndrome1
52,disease,Syndrome1
55,disease,Syndrome1
93650,disease,Syndrome1
54,disease,Syndrome1
390928,disease,Syndrome1
49,disease,Syndrome1
64431,disease,Syndrome1
8038,disease,Syndrome1
54507,disease,Syndrome1
23536,disease,Syndrome1
108,disease,Syndrome1
283383,disease,Syndrome1
347088,disease,Syndrome1
2015,disease,Syndrome1
30817,disease,Syndrome1
84658,disease,Syndrome1
266977,disease,Syndrome1
222611,disease,Syndrome1
165082,disease,Syndrome1
221393,disease,Syndrome1
221395,disease,Syndrome1
10149,disease,Syndrome1
222487,disease,Syndrome1
139378,disease,Syndrome1
221188,disease,Syndrome1
57211,disease,Syndrome1
84873,disease,Syndrome1
22859,disease,Syndrome1
23266,disease,Syndrome1
23284,disease,Syndrome1
64123,disease,Syndrome1
124,disease,Syndrome1
23394,disease,Syndrome1
56985,disease,Syndrome1
146,disease,Syndrome1
150,disease,Syndrome1
153,disease,Syndrome1
154,disease,Syndrome1
122622,disease,Syndrome1
175,disease,Syndrome1
79814,disease,Syndrome1
189,disease,Syndrome1
64902,disease,Syndrome1
10768,disease,Syndrome1
10598,disease,Syndrome1
197,disease,Syndrome1
51390,disease,Syndrome1
9590,disease,Syndrome1
79647,disease,Syndrome1
5832,disease,Syndrome1
216,disease,Syndrome1
217,disease,Syndrome1
223,disease,Syndrome1
84920,disease,Syndrome1
79868,disease,Syndrome1
199857,disease,Syndrome1
285016,disease,Syndrome1
7840,disease,Syndrome1
240,disease,Syndrome1
262,disease,Syndrome1
57463,disease,Syndrome1
196394,disease,Syndrome1
276,disease,Syndrome1
278,disease,Syndrome1
279,disease,Syndrome1
10393,disease,Syndrome1
29945,disease,Syndrome1
285,disease,Syndrome1
55908,disease,Syndrome1
57037,disease,Syndrome1
314,disease,Syndrome1
162,disease,Syndrome1
10947,disease,Syndrome1
9546,disease,Syndrome1
147495,disease,Syndrome1
333,disease,Syndrome1
338,disease,Syndrome1
344,disease,Syndrome1
347,disease,Syndrome1
319,disease,Syndrome1
350,disease,Syndrome1
81575,disease,Syndrome1
351,disease,Syndrome1
55198,disease,Syndrome1
282679,disease,Syndrome1
10565,disease,Syndrome1
383,disease,Syndrome1
9824,disease,Syndrome1
201176,disease,Syndrome1
2909,disease,Syndrome1
9912,disease,Syndrome1
23526,disease,Syndrome1
397,disease,Syndrome1
196528,disease,Syndrome1
54622,disease,Syndrome1
64860,disease,Syndrome1
56938,disease,Syndrome1
27106,disease,Syndrome1
420,disease,Syndrome1
421,disease,Syndrome1
440,disease,Syndrome1
151516,disease,Syndrome1
79058,disease,Syndrome1
28990,disease,Syndrome1
89849,disease,Syndrome1
23130,disease,Syndrome1
79065,disease,Syndrome1
51062,disease,Syndrome1
64225,disease,Syndrome1
27032,disease,Syndrome1
506,disease,Syndrome1
90423,disease,Syndrome1
549,disease,Syndrome1
566,disease,Syndrome1
145173,disease,Syndrome1
9531,disease,Syndrome1
9529,disease,Syndrome1
54971,disease,Syndrome1
581,disease,Syndrome1
166379,disease,Syndrome1
583,disease,Syndrome1
129880,disease,Syndrome1
27241,disease,Syndrome1
9564,disease,Syndrome1
590,disease,Syndrome1
622,disease,Syndrome1
56898,disease,Syndrome1
55859,disease,Syndrome1
51283,disease,Syndrome1
112401,disease,Syndrome1
54841,disease,Syndrome1
10904,disease,Syndrome1
282991,disease,Syndrome1
154743,disease,Syndrome1
664,disease,Syndrome1
100528007,disease,Syndrome1
29117,disease,Syndrome1
8927,disease,Syndrome1
100131137,disease,Syndrome1
121551,disease,Syndrome1
91408,disease,Syndrome1
56913,disease,Syndrome1
29071,disease,Syndrome1
51279,disease,Syndrome1
716,disease,Syndrome1
717,disease,Syndrome1
25966,disease,Syndrome1
145741,disease,Syndrome1
9847,disease,Syndrome1
720,disease,Syndrome1
721,disease,Syndrome1
731,disease,Syndrome1
732,disease,Syndrome1
760,disease,Syndrome1
10369,disease,Syndrome1
57662,disease,Syndrome1
138199,disease,Syndrome1
23581,disease,Syndrome1
842,disease,Syndrome1
844,disease,Syndrome1
845,disease,Syndrome1
347732,disease,Syndrome1
8436,disease,Syndrome1
874,disease,Syndrome1
84869,disease,Syndrome1
90693,disease,Syndrome1
165055,disease,Syndrome1
80071,disease,Syndrome1
154467,disease,Syndrome1
149483,disease,Syndrome1
84660,disease,Syndrome1
26112,disease,Syndrome1
83446,disease,Syndrome1
60494,disease,Syndrome1
55704,disease,Syndrome1
80212,disease,Syndrome1
885,disease,Syndrome1
890,disease,Syndrome1
1234,disease,Syndrome1
977,disease,Syndrome1
914,disease,Syndrome1
80381,disease,Syndrome1
9936,disease,Syndrome1
915,disease,Syndrome1
920,disease,Syndrome1
959,disease,Syndrome1
4179,disease,Syndrome1
966,disease,Syndrome1
924,disease,Syndrome1
975,disease,Syndrome1
22918,disease,Syndrome1
994,disease,Syndrome1
55664,disease,Syndrome1
79577,disease,Syndrome1
29965,disease,Syndrome1
51755,disease,Syndrome1
1017,disease,Syndrome1
1019,disease,Syndrome1
54901,disease,Syndrome1
1026,disease,Syndrome1
30850,disease,Syndrome1
1056,disease,Syndrome1
63036,disease,Syndrome1
51032,disease,Syndrome1
23436,disease,Syndrome1
23670,disease,Syndrome1
1060,disease,Syndrome1
201254,disease,Syndrome1
145508,disease,Syndrome1
9662,disease,Syndrome1
283638,disease,Syndrome1
55165,disease,Syndrome1
23177,disease,Syndrome1
80321,disease,Syndrome1
55722,disease,Syndrome1
84902,disease,Syndrome1
91012,disease,Syndrome1
144406,disease,Syndrome1
56683,disease,Syndrome1
629,disease,Syndrome1
55997,disease,Syndrome1
653275,disease,Syndrome1
1675,disease,Syndrome1
3426,disease,Syndrome1
84952,disease,Syndrome1
400916,disease,Syndrome1
1111,disease,Syndrome1
1116,disease,Syndrome1
1119,disease,Syndrome1
386593,disease,Syndrome1
1122,disease,Syndrome1
79586,disease,Syndrome1
89832,disease,Syndrome1
1132,disease,Syndrome1
1136,disease,Syndrome1
8973,disease,Syndrome1
55584,disease,Syndrome1
1140,disease,Syndrome1
1141,disease,Syndrome1
1142,disease,Syndrome1
1143,disease,Syndrome1
166012,disease,Syndrome1
51363,disease,Syndrome1
63922,disease,Syndrome1
54921,disease,Syndrome1
63924,disease,Syndrome1
9076,disease,Syndrome1
23562,disease,Syndrome1
7461,disease,Syndrome1
1203,disease,Syndrome1
