Herb_id,Ingredient_id
HERB000484,HBIN013530
HERB000484,HBIN013853
HERB000484,HBIN014155
HERB000484,HBIN048048
HERB000800,HBIN001775
HERB000800,HBIN007288
HERB000800,HBIN011975
HERB000800,HBIN014399
HERB000800,HBIN015955
HERB000800,HBIN017508
HERB000800,HBIN017516
HERB000800,HBIN018278
HERB000800,HBIN018729
HERB000800,HBIN018781
HERB000800,HBIN019111
HERB000800,HBIN019199
HERB000800,HBIN019471
HERB000800,HBIN019919
HERB000800,HBIN019921
HERB000800,HBIN022771
HERB000800,HBIN024567
HERB000800,HBIN024930
HERB000800,HBIN024967
HERB000800,HBIN025006
HERB000800,HBIN025338
HERB000800,HBIN025344
HERB000800,HBIN025963
HERB000800,HBIN026062
HERB000800,HBIN026067
HERB000800,HBIN026766
HERB000800,HBIN026881
HERB000800,HBIN027045
HERB000800,HBIN027057
HERB000800,HBIN028006
HERB000800,HBIN028847
HERB000800,HBIN029013
HERB000800,HBIN029242
HERB000800,HBIN029260
HERB000800,HBIN029313
HERB000800,HBIN029685
HERB000800,HBIN030088
HERB000800,HBIN030105
HERB000800,HBIN030108
HERB000800,HBIN030128
HERB000800,HBIN030359
HERB000800,HBIN031753
HERB000800,HBIN032754
HERB000800,HBIN033749
HERB000800,HBIN033751
HERB000800,HBIN035224
HERB000800,HBIN035353
HERB000800,HBIN035798
HERB000800,HBIN036159
HERB000800,HBIN036366
HERB000800,HBIN036636
HERB000800,HBIN037053
HERB000800,HBIN037940
HERB000800,HBIN038026
HERB000800,HBIN038606
HERB000800,HBIN038627
HERB000800,HBIN038628
HERB000800,HBIN038629
HERB000800,HBIN038680
HERB000800,HBIN039150
HERB000800,HBIN039190
HERB000800,HBIN040797
HERB000800,HBIN040859
HERB000800,HBIN042852
HERB000800,HBIN044523
HERB000800,HBIN044869
HERB000800,HBIN044918
HERB000800,HBIN045073
HERB000800,HBIN046019
HERB000800,HBIN047278
HERB000800,HBIN047738
HERB000800,HBIN048346
HERB000800,HBIN048368
HERB000868,HBIN003405
HERB000868,HBIN005186
HERB000868,HBIN008944
HERB000868,HBIN009785
HERB000868,HBIN014155
HERB000868,HBIN015749
HERB000868,HBIN017075
HERB000868,HBIN017893
HERB000868,HBIN018278
HERB000868,HBIN018382
HERB000868,HBIN018729
HERB000868,HBIN019921
HERB000868,HBIN019933
HERB000868,HBIN019948
HERB000868,HBIN019998
HERB000868,HBIN021620
HERB000868,HBIN025944
HERB000868,HBIN026462
HERB000868,HBIN026468
HERB000868,HBIN028829
HERB000868,HBIN029328
HERB000868,HBIN031102
HERB000868,HBIN031339
HERB000868,HBIN031592
HERB000868,HBIN031595
HERB000868,HBIN033339
HERB000868,HBIN034311
HERB000868,HBIN034389
HERB000868,HBIN034673
HERB000868,HBIN035353
HERB000868,HBIN036159
HERB000868,HBIN036162
HERB000868,HBIN036907
HERB000868,HBIN037940
HERB000868,HBIN038680
HERB000868,HBIN039519
HERB000868,HBIN041495
HERB000868,HBIN042307
HERB000868,HBIN042670
HERB000868,HBIN044070
HERB000868,HBIN044730
HERB000868,HBIN044797
HERB000868,HBIN044799
HERB000868,HBIN044918
