Syndrome_id,SYMBOL
Syndrome 1,A1BG
Syndrome 1,A1CF
Syndrome 1,A2ML1
Syndrome 1,AARS1
Syndrome 1,ABAT
Syndrome 1,ABCA1
Syndrome 1,ABCA10
Syndrome 1,ABCA12
Syndrome 1,ABCA13
Syndrome 1,ABCA2
Syndrome 1,ABCA3
Syndrome 1,ABCA4
Syndrome 1,ABCA5
Syndrome 1,ABCA7
Syndrome 1,ABCA9
Syndrome 1,ABCB10
Syndrome 1,ABLIM3
Syndrome 1,ACADM
Syndrome 1,ACBD6
Syndrome 1,ACHE
Syndrome 1,ACOX1
Syndrome 1,ACP1
Syndrome 1,ACP3
Syndrome 1,ACP4
Syndrome 1,ACP5
Syndrome 1,ACP7
Syndrome 1,ACR
Syndrome 1,ACTR6
Syndrome 1,ADAM12
Syndrome 1,ADAMTSL4
Syndrome 1,ADAT1
Syndrome 1,ADCY2
Syndrome 1,ADGRD1
Syndrome 1,ADGRD2
Syndrome 1,ADGRE1
Syndrome 1,ADGRE2
Syndrome 1,ADGRE3
Syndrome 1,ADGRF1
Syndrome 1,ADGRF2
Syndrome 1,ADGRF3
Syndrome 1,ADGRF4
Syndrome 1,ADGRF5
Syndrome 1,ADGRG2
Syndrome 1,ADGRG3
Syndrome 1,ADGRG4
Syndrome 1,ADGRG5
Syndrome 1,ADGRG6
Syndrome 1,ADGRG7
Syndrome 1,ADGRL1
Syndrome 1,ADGRL2
Syndrome 1,ADGRL3
Syndrome 1,ADGRL4
Syndrome 1,ADH1A
Syndrome 1,ADNP
Syndrome 1,ADPRM
Syndrome 1,ADRA1D
Syndrome 1,ADRA2A
Syndrome 1,ADRB1
Syndrome 1,ADRB2
Syndrome 1,ADSS1
Syndrome 1,AGA
Syndrome 1,AGMAT
Syndrome 1,AGXT
Syndrome 1,AGXT2
Syndrome 1,AHCYL1
Syndrome 1,AHSA1
Syndrome 1,AHSG
Syndrome 1,AIG1
Syndrome 1,AKAP12
Syndrome 1,AKIRIN1
Syndrome 1,ALDH18A1
Syndrome 1,ALDH1A1
Syndrome 1,ALDH2
Syndrome 1,ALDH9A1
Syndrome 1,ALG10
Syndrome 1,ALG13
Syndrome 1,ALG14
Syndrome 1,ALKAL2
Syndrome 1,ALMS1
Syndrome 1,ALOX5
Syndrome 1,AMD1
Syndrome 1,AMIGO1
Syndrome 1,AMN1
Syndrome 1,AMY1A
Syndrome 1,AMY1C
Syndrome 1,AMY2A
Syndrome 1,ANAPC10
Syndrome 1,ANAPC4
Syndrome 1,ANGPT2
Syndrome 1,ANGPTL8
Syndrome 1,ANKMY2
Syndrome 1,AOC2
Syndrome 1,AP1B1
Syndrome 1,AP3M2
Syndrome 1,APBA3
Syndrome 1,APCDD1
Syndrome 1,APLP1
Syndrome 1,APOB
Syndrome 1,APOC2
Syndrome 1,APOD
Syndrome 1,APOF
Syndrome 1,APOH
Syndrome 1,APOLD1
Syndrome 1,APP
Syndrome 1,APPL2
Syndrome 1,AQP11
Syndrome 1,ARFGEF1
Syndrome 1,ARG1
Syndrome 1,ARHGAP11A
Syndrome 1,ARHGAP27
Syndrome 1,ARHGAP35
Syndrome 1,ARHGAP44
Syndrome 1,ARHGAP45
Syndrome 1,ARHGDIB
Syndrome 1,ARID2
Syndrome 1,ARL15
Syndrome 1,ARMCX5
Syndrome 1,ARNTL2
Syndrome 1,ARRDC2
Syndrome 1,ART4
Syndrome 1,ARVCF
Syndrome 1,ASNS
Syndrome 1,ASPRV1
Syndrome 1,ASPSCR1
Syndrome 1,ASTE1
Syndrome 1,ATG16L2
Syndrome 1,ATG2A
Syndrome 1,ATG9A
Syndrome 1,ATL1
Syndrome 1,ATL2
Syndrome 1,ATP2C1
Syndrome 1,ATP5F1B
Syndrome 1,ATP6V1E2
Syndrome 1,AUH
Syndrome 1,AZU1
Syndrome 1,B3GLCT
Syndrome 1,BAG3
Syndrome 1,BAG5
Syndrome 1,BANP
Syndrome 1,BAX
Syndrome 1,BBS12
Syndrome 1,BBS2
Syndrome 1,BBS5
Syndrome 1,BBS9
Syndrome 1,BCAR1
Syndrome 1,BCHE
Syndrome 1,BDH1
Syndrome 1,BDH2
Syndrome 1,BEX1
Syndrome 1,BFAR
Syndrome 1,BIRC8
Syndrome 1,BIVM
Syndrome 1,BLCAP
Syndrome 1,BLOC1S2
Syndrome 1,BMT2
Syndrome 1,BNIP3
Syndrome 1,BORCS7-ASMT
Syndrome 1,BRD7
Syndrome 1,BSN
Syndrome 1,BSPH1
Syndrome 1,BTBD11
Syndrome 1,BTF3L4
Syndrome 1,C1GALT1
Syndrome 1,C1GALT1C1
Syndrome 1,C1RL
Syndrome 1,C1S
Syndrome 1,C2
Syndrome 1,C2CD2
Syndrome 1,C2CD4A
Syndrome 1,C2CD5
Syndrome 1,C4A
Syndrome 1,C4B
Syndrome 1,C8A
Syndrome 1,C8B
Syndrome 1,CA2
Syndrome 1,CACNG2
Syndrome 1,CAMSAP3
Syndrome 1,CARNMT1
Syndrome 1,CASP14
Syndrome 1,CASP9
Syndrome 1,CASQ1
Syndrome 1,CASQ2
Syndrome 1,CATSPER3
Syndrome 1,CAVIN2
Syndrome 1,CBR3
Syndrome 1,CBR4
Syndrome 1,CCDC126
Syndrome 1,CCDC138
Syndrome 1,CCDC15
Syndrome 1,CCDC167
Syndrome 1,CCDC17
Syndrome 1,CCDC62
Syndrome 1,CCDC69
Syndrome 1,CCDC70
Syndrome 1,CCDC81
Syndrome 1,CCDC88A
Syndrome 1,CCDC92
Syndrome 1,CCK
Syndrome 1,CCNA2
Syndrome 1,CCR5
Syndrome 1,CD151
Syndrome 1,CD2
Syndrome 1,CD276
Syndrome 1,CD302
Syndrome 1,CD3D
Syndrome 1,CD4
Syndrome 1,CD40LG
Syndrome 1,CD46
Syndrome 1,CD59
Syndrome 1,CD7
Syndrome 1,CD81
