Syndrome_id,SYMBOL
Syndrome 5,AATK
Syndrome 5,ABTB1
Syndrome 5,ACY1
Syndrome 5,ADAM19
Syndrome 5,ADTRP
Syndrome 5,AEBP2
Syndrome 5,AGL
Syndrome 5,AK2
Syndrome 5,AK3
Syndrome 5,AK5
Syndrome 5,AK7
Syndrome 5,AK8
Syndrome 5,AK9
Syndrome 5,AKR1C3
Syndrome 5,ALAD
Syndrome 5,ALG5
Syndrome 5,ALKBH2
Syndrome 5,ALKBH4
Syndrome 5,AMD1
Syndrome 5,AMY2A
Syndrome 5,ANGPT4
Syndrome 5,ANK2
Syndrome 5,ANK3
Syndrome 5,ANKDD1B
Syndrome 5,ANKFY1
Syndrome 5,ANKK1
Syndrome 5,ANKRD18A
Syndrome 5,ANKRD18B
Syndrome 5,ANKRD2
Syndrome 5,ANKRD20A2P
Syndrome 5,ANKRD20A4P
Syndrome 5,ANKRD23
Syndrome 5,ANKRD24
Syndrome 5,ANKRD26
Syndrome 5,ANKRD27
Syndrome 5,ANKRD28
Syndrome 5,ANKRD30A
Syndrome 5,ANKRD30B
Syndrome 5,ANKRD30BL
Syndrome 5,ANKRD35
Syndrome 5,ANKRD36
Syndrome 5,ANKRD36C
Syndrome 5,ANKRD39
Syndrome 5,ANKRD42
Syndrome 5,ANKRD44
Syndrome 5,ANKRD46
Syndrome 5,ANKRD49
Syndrome 5,ANKRD50
Syndrome 5,ANKRD52
Syndrome 5,ANKRD53
Syndrome 5,ANKRD54
Syndrome 5,ANKRD55
Syndrome 5,ANKRD6
Syndrome 5,ANKRD60
Syndrome 5,ANKRD61
Syndrome 5,ANKRD63
Syndrome 5,ANKRD65
Syndrome 5,ANKRD66
Syndrome 5,ANKRD7
Syndrome 5,ANKRD9
Syndrome 5,ANKS1A
Syndrome 5,ANKS1B
Syndrome 5,ANKS3
Syndrome 5,ANKS6
Syndrome 5,APEH
Syndrome 5,APTX
Syndrome 5,ARGLU1
Syndrome 5,ARHGEF7
Syndrome 5,ASB1
Syndrome 5,ASB10
Syndrome 5,ASB11
Syndrome 5,ASB12
Syndrome 5,ASB13
Syndrome 5,ASB14
