Ingredient_id,Target_name
HBIN000071,CHRM1
HBIN000071,PTGS2
HBIN000071,NOS2
HBIN000071,GABRA1
HBIN000071,CHRM3
HBIN000071,CHRNA7
HBIN000071,ESR1
HBIN000071,AR
HBIN000071,DPP4
HBIN000391,NR3C1
HBIN000391,AR
HBIN000643,ACLY
HBIN000643,PLIN2
HBIN000643,ADSL
HBIN000643,BIRC3
HBIN000643,FAS
HBIN000643,FASLG
HBIN000643,ATF3
HBIN000643,BACH1
HBIN000643,BCL3
HBIN000643,CASP3
HBIN000643,CASP8
HBIN000643,CASP9
HBIN000643,TNFRSF8
HBIN000643,CYP27A1
HBIN000643,EGR1
HBIN000643,CTTN
HBIN000643,ENG
HBIN000643,FDXR
HBIN000643,GATA2
HBIN000643,GP1BB
HBIN000643,CXCL2
HBIN000643,CXCL3
HBIN000643,GYPA
HBIN000643,HLA-DPA1
HBIN000643,HLA-DPB1
HBIN000643,HMOX1
HBIN000643,HES1
HBIN000643,HSPA1A
HBIN000643,HSPA1B
HBIN000643,HSP90AA1
HBIN000643,DNAJB1
HBIN000643,IL6
HBIN000643,CXCL8
HBIN000643,ITGA2B
HBIN000643,JARID2
HBIN000643,JUN
HBIN000643,KCND1
HBIN000643,ABCC1
HBIN000643,PPP1R12A
HBIN000643,NFKBIA
HBIN000643,SERPINF1
HBIN000643,PRTN3
HBIN000643,PTPN3
HBIN000643,RELB
HBIN000643,RPL5
HBIN000643,RPL15
HBIN000643,SH3BP2
HBIN000643,ST3GAL3
HBIN000643,SORL1
HBIN000643,TFRC
HBIN000643,TNF
HBIN000643,TNFAIP6
HBIN000643,TOP1
HBIN000643,TOP2A
HBIN000643,TOP2B
HBIN000643,TOP3A
HBIN000643,TXNRD1
HBIN000643,NCK2
HBIN000643,EIF3A
HBIN000643,SRSF9
HBIN000643,TOP3B
HBIN000643,TTLL4
HBIN000643,KEAP1
HBIN000643,AREL1
HBIN000643,KLF2
HBIN000643,ARL6IP5
HBIN000643,NEU3
HBIN000643,POLR1G
HBIN000643,PHLDA1
HBIN000643,TMEM158
HBIN000643,GGA1
HBIN000643,ERO1A
HBIN000643,PDE11A
HBIN000643,EIF3L
HBIN000643,TLR9
HBIN000643,DDIT4
HBIN000643,EVA1B
HBIN000643,STEAP3
HBIN000643,RAB22A
HBIN000643,PRUNE1
HBIN000643,PRDM12
HBIN000643,RTN4R
HBIN000643,CHAC1
HBIN000643,RILP
HBIN000643,SESN2
HBIN000643,DGAT2
HBIN000643,KLHDC7B
HBIN000643,TOP1MT
HBIN000643,GABPB2
HBIN000643,NANP
HBIN000643,NANOS1
HBIN000643,SCIMP
HBIN000643,ZBTB42
HBIN000689,SQLE
HBIN000689,KMO
HBIN000689,COQ6
HBIN001079,CHRM1
HBIN001079,CHRM2
HBIN001079,CHRM3
HBIN001079,DPP4
HBIN001079,ACHE
HBIN001079,GABRA1
HBIN001080,CHRM1
HBIN001080,IGHG1
HBIN001080,NR3C2
HBIN001080,GABRA1
HBIN001080,PRSS1
HBIN001080,NR3C1
HBIN001080,DPP4
HBIN001080,CHRM2
HBIN001080,AR
HBIN001202,PTGS1
HBIN001202,PTGS2
HBIN001202,ESR2
HBIN001202,GSK3B
HBIN001202,AR
HBIN001202,NOS2
HBIN001202,MAPK14
HBIN001202,ESR1
HBIN001202,PIM1
HBIN001202,CA2
HBIN001202,DPP4
HBIN001202,CDK2
HBIN001421,AGL
HBIN001421,AMY1A
HBIN001421,AMY2A
HBIN001421,AMY2B
HBIN001421,PYGB
HBIN001421,PYGL
HBIN001421,PYGM
HBIN001421,SLC3A1
HBIN001421,SLC3A2
HBIN001990,AR
HBIN002087,CCND1
HBIN002087,CDK2
HBIN002087,CDK4
HBIN002087,FOS
HBIN002087,JUN
HBIN002087,MYC
HBIN002087,HERC5
HBIN002089,NR3C1
HBIN002089,AR
HBIN002095,ANPEP
HBIN002095,BDH1
HBIN002095,CBR1
HBIN002095,CBR3
HBIN002095,AKR1C4
HBIN002095,CTNNA1
HBIN002095,CTNNB1
HBIN002095,AKR1C1
HBIN002095,AKR1C2
HBIN002095,DECR1
HBIN002095,GJA1
HBIN002095,NR3C1
HBIN002095,HPGD
HBIN002095,HRAS
HBIN002095,HSD11B1
HBIN002095,HSD11B2
HBIN002095,HSD17B1
HBIN002095,HSD17B2
HBIN002095,ICAM1
HBIN002095,JUP
HBIN002095,NR3C2
HBIN002095,MTRR
HBIN002095,NOS1
HBIN002095,NOS2
HBIN002095,NOS3
HBIN002095,ABCB1
HBIN002095,POR
HBIN002095,PTPN11
HBIN002095,RDH5
HBIN002095,REN
HBIN002095,SRC
HBIN002095,HSD17B8
HBIN002095,RDH16
HBIN002095,HSD17B6
HBIN002095,AKR1C3
HBIN002095,DHRS2
HBIN002095,SLCO1B1
HBIN002095,DHRS4
HBIN002095,DHRS7B
HBIN002095,DECR2
HBIN002095,NDOR1
