Herb_id,Ingredient_id
HERB001211,HBIN005911
HERB001211,HBIN006589
HERB001211,HBIN007703
HERB001211,HBIN008924
HERB001211,HBIN008944
HERB001211,HBIN010721
HERB001211,HBIN011439
HERB001211,HBIN011769
HERB001211,HBIN011828
HERB001211,HBIN012570
HERB001211,HBIN013310
HERB001211,HBIN015475
HERB001211,HBIN015651
HERB001211,HBIN015689
HERB001211,HBIN016408
HERB001211,HBIN016870
HERB001211,HBIN016873
HERB001211,HBIN017286
HERB001211,HBIN017287
HERB001211,HBIN017356
HERB001211,HBIN018241
HERB001211,HBIN018829
HERB001211,HBIN018952
HERB001211,HBIN019035
HERB001211,HBIN019123
HERB001211,HBIN019688
HERB001211,HBIN019690
HERB001211,HBIN020406
HERB001211,HBIN021218
HERB001211,HBIN021220
HERB001211,HBIN021224
HERB001211,HBIN022093
HERB001211,HBIN022755
HERB001211,HBIN022756
HERB001211,HBIN023168
HERB001211,HBIN023184
HERB001211,HBIN023187
HERB001211,HBIN023517
HERB001211,HBIN024112
HERB001211,HBIN024745
HERB001211,HBIN024930
HERB001211,HBIN025041
HERB001211,HBIN025073
HERB001211,HBIN025968
HERB001211,HBIN026465
HERB001211,HBIN026610
HERB001211,HBIN026766
HERB001211,HBIN026768
HERB001211,HBIN026774
HERB001211,HBIN026800
HERB001211,HBIN026855
HERB001211,HBIN027069
HERB001211,HBIN027450
HERB001211,HBIN027961
HERB001211,HBIN028141
HERB001211,HBIN028475
HERB001211,HBIN029101
HERB001211,HBIN029328
HERB001211,HBIN030233
HERB001211,HBIN032754
HERB001211,HBIN033455
HERB001211,HBIN033751
HERB001211,HBIN033803
HERB001211,HBIN033853
HERB001211,HBIN035272
HERB001211,HBIN035317
HERB001211,HBIN035353
HERB001211,HBIN036159
HERB001211,HBIN036162
HERB001211,HBIN036905
HERB001211,HBIN036907
HERB001211,HBIN037247
HERB001211,HBIN037254
HERB001211,HBIN037256
HERB001211,HBIN037343
HERB001211,HBIN037796
HERB001211,HBIN038180
HERB001211,HBIN038680
HERB001211,HBIN039150
HERB001211,HBIN039299
HERB001211,HBIN039519
HERB001211,HBIN040249
HERB001211,HBIN040587
HERB001211,HBIN042172
HERB001211,HBIN043873
HERB001211,HBIN044523
HERB001211,HBIN044671
HERB001211,HBIN044730
HERB001211,HBIN044795
HERB001211,HBIN044872
HERB001211,HBIN044918
HERB001211,HBIN045254
HERB001211,HBIN045475
HERB001211,HBIN045530
HERB001211,HBIN045541
HERB001211,HBIN045814
HERB001211,HBIN045833
HERB001211,HBIN046110
HERB001211,HBIN047738
HERB001355,HBIN002087
HERB001355,HBIN002095
HERB001355,HBIN004636
HERB001355,HBIN004661
HERB001355,HBIN004937
HERB001355,HBIN005940
HERB001355,HBIN005999
HERB001355,HBIN008831
HERB001355,HBIN009679
HERB001355,HBIN011105
HERB001355,HBIN011106
HERB001355,HBIN014684
HERB001355,HBIN015027
HERB001355,HBIN017212
HERB001355,HBIN018006
HERB001355,HBIN018278
HERB001355,HBIN021575
HERB001355,HBIN026465
HERB001355,HBIN026662
HERB001355,HBIN027172
HERB001355,HBIN027173
HERB001355,HBIN027252
HERB001355,HBIN028174
HERB001355,HBIN028180
HERB001355,HBIN028181
HERB001355,HBIN028184
HERB001355,HBIN028190
HERB001355,HBIN028191
HERB001355,HBIN028214
HERB001355,HBIN028215
HERB001355,HBIN028802
HERB001355,HBIN029313
HERB001355,HBIN029355
HERB001355,HBIN029414
HERB001355,HBIN030612
HERB001355,HBIN030773
HERB001355,HBIN030780
HERB001355,HBIN030868
HERB001355,HBIN030869
HERB001355,HBIN030896
HERB001355,HBIN030898
HERB001355,HBIN030962
HERB001355,HBIN031002
HERB001355,HBIN031102
HERB001355,HBIN031109
HERB001355,HBIN031192
HERB001355,HBIN031319
HERB001355,HBIN033093
HERB001355,HBIN033099
HERB001355,HBIN033107
HERB001355,HBIN033109
HERB001355,HBIN033114
HERB001355,HBIN033157
HERB001355,HBIN033383
HERB001355,HBIN033768
HERB001355,HBIN034960
HERB001355,HBIN035246
HERB001355,HBIN035670
HERB001355,HBIN036683
HERB001355,HBIN036760
HERB001355,HBIN036903
HERB001355,HBIN036907
HERB001355,HBIN038168
HERB001355,HBIN040585
HERB001355,HBIN040587
HERB001355,HBIN042297
HERB001355,HBIN042670
HERB001355,HBIN044047
HERB001355,HBIN044062
HERB001355,HBIN044977
HERB001355,HBIN046052
HERB001355,HBIN046084
HERB001355,HBIN047131
HERB001355,HBIN047563
HERB001355,HBIN048047
HERB001355,HBIN048051
HERB001579,HBIN001080
HERB001579,HBIN003305
HERB001579,HBIN011903
HERB001579,HBIN015475
HERB001579,HBIN015547
HERB001579,HBIN015613
HERB001579,HBIN016873
HERB001579,HBIN018012
HERB001579,HBIN018094
HERB001579,HBIN018110
HERB001579,HBIN018241
HERB001579,HBIN018729
HERB001579,HBIN018850
HERB001579,HBIN019336
HERB001579,HBIN019449
HERB001579,HBIN019699
HERB001579,HBIN020826
HERB001579,HBIN021985
HERB001579,HBIN021990
HERB001579,HBIN022017
HERB001579,HBIN022407
HERB001579,HBIN022819
HERB001579,HBIN023190
HERB001579,HBIN026855
HERB001579,HBIN027567
HERB001579,HBIN027568
HERB001579,HBIN028562
HERB001579,HBIN028847
HERB001579,HBIN029013
HERB001579,HBIN030634
HERB001579,HBIN032583
HERB001579,HBIN035605
HERB001579,HBIN036067
HERB001579,HBIN040249
HERB001579,HBIN042501
HERB001579,HBIN043288
HERB001579,HBIN045530
HERB001579,HBIN046500
HERB001579,HBIN046986
HERB001579,HBIN048228
HERB001579,HBIN048992
HERB001579,HBIN048993
HERB001579,HBIN049216
HERB001750,HBIN004303
HERB001750,HBIN004550
HERB001750,HBIN006127
HERB001750,HBIN008520
HERB001750,HBIN014684
HERB001750,HBIN015211
HERB001750,HBIN015424
HERB001750,HBIN015448
HERB001750,HBIN015533
HERB001750,HBIN015582
HERB001750,HBIN015613
HERB001750,HBIN015704
HERB001750,HBIN016997
HERB001750,HBIN018094
HERB001750,HBIN018137
HERB001750,HBIN019135
HERB001750,HBIN019502
HERB001750,HBIN020055
HERB001750,HBIN024572
HERB001750,HBIN025944
HERB001750,HBIN026385
HERB001750,HBIN027568
HERB001750,HBIN029313
HERB001750,HBIN033265
HERB001750,HBIN036308
HERB001750,HBIN037254
HERB001750,HBIN037940
HERB001750,HBIN038555
HERB001750,HBIN038556
HERB001750,HBIN038680
HERB001750,HBIN040570
HERB001750,HBIN040573
HERB001750,HBIN040575
HERB001750,HBIN040578
HERB001750,HBIN046625
HERB001750,HBIN046657
