Ingredient_id,Target_name
HBIN000021,ACHE
HBIN000021,PPARG
HBIN000021,NCOA2
HBIN000021,CA2
HBIN000102,COG2
HBIN000320,ACHE
HBIN000320,GABRA1
HBIN000320,PTGS1
HBIN000320,ESR1
HBIN000320,MAOB
HBIN000320,CHRM1
HBIN000320,CHRNA7
HBIN000320,SLC6A2
HBIN000320,DPP4
HBIN000320,ADRA1D
HBIN000320,PRSS1
HBIN000320,NOS2
HBIN000320,PTGS2
HBIN000526,PTGS1
HBIN000526,PTGS2
HBIN000526,NCOA2
HBIN000526,DPP4
HBIN000526,NOS2
HBIN000526,PPARG
HBIN000526,ACHE
HBIN000526,RHO
HBIN000569,CA2
HBIN000569,PRSS1
HBIN000864,PTGS2
HBIN000864,PRSS1
HBIN000864,CDK2
HBIN001584,ACHE
HBIN001584,PRSS1
HBIN001584,GABRA1
HBIN001681,GABRA1
HBIN001681,CHRM2
HBIN001775,PGR
HBIN001775,AR
HBIN001775,ESR1
HBIN001775,NR3C1
HBIN002102,PIM1
HBIN002102,ACHE
HBIN002102,PRSS1
HBIN002102,GABRA1
HBIN002102,DPP4
HBIN002102,PTGS2
HBIN002102,CA2
HBIN002102,CHRNA2
HBIN002159,CHRM1
HBIN002159,SLC6A2
HBIN002159,CHRNA7
HBIN002159,DPP4
HBIN002159,GABRA1
HBIN002159,ACHE
HBIN002159,CHRM3
HBIN002159,CHRM2
HBIN002159,ADRA1B
HBIN002579,DHCR24
HBIN002579,GNPAT
HBIN002579,AGPS
HBIN002579,FAR2
HBIN002579,FAR1
HBIN002579,LDHD
HBIN002579,D2HGDH
HBIN003048,CASP3
HBIN003048,CASP9
HBIN003048,CHRM1
HBIN003048,IGHG1
HBIN003048,ACHE
HBIN003048,GABRA1
HBIN003048,CHRM2
HBIN003048,DPP4
HBIN003048,PRSS1
HBIN003048,CHRM3
HBIN003176,LYZ
HBIN003176,PRSS1
HBIN003176,CA2
HBIN003176,DPP4
HBIN003405,AR
HBIN003405,NR3C2
HBIN003405,ESR1
HBIN004382,PGR
HBIN004382,AR
HBIN004382,ESR1
HBIN004386,NR3C2
HBIN004386,PGR
HBIN004386,AR
HBIN004386,ESR1
HBIN004386,NR3C1
HBIN004438,PGR
HBIN004438,AR
HBIN004438,ESR1
HBIN004443,PGR
HBIN004443,NCOA2
HBIN004443,ESR1
HBIN004443,AR
HBIN004449,PGR
HBIN004449,NR3C1
HBIN004449,AR
HBIN004449,ESR1
HBIN004455,DHCR7
HBIN004455,DHCR24
HBIN004455,NR3C1
HBIN004455,ESR1
HBIN004455,NR3C2
HBIN004455,PGR
HBIN004455,AR
HBIN004456,ESR1
HBIN004456,AR
HBIN004457,HDC
HBIN004457,KCND2
HBIN004457,KCND3
HBIN004457,LDLR
HBIN004457,MET
HBIN004457,RET
HBIN004457,SLC18A2
HBIN004459,MSMO1
HBIN004459,FAXDC2
HBIN004459,AR
HBIN004459,ESR1
HBIN004468,PGR
HBIN004468,NR3C1
HBIN004468,ESR1
HBIN004468,AR
HBIN004472,NR3C2
HBIN004472,PGR
HBIN004472,NR3C1
HBIN004472,NCOA2
HBIN004472,AR
HBIN004472,ESR1
HBIN004498,AR
HBIN004555,CA2
HBIN004555,PRSS1
HBIN004555,ACHE
HBIN005186,NR3C1
HBIN005186,AR
HBIN006351,PTGS2
HBIN006351,ADH1A
HBIN006351,LYZ
HBIN006599,BCHE
HBIN006599,PLA2G2E
HBIN006599,PRSS1
HBIN006599,PRSS3
HBIN006982,ESR1
HBIN006982,AR
HBIN006984,ESR1
HBIN006984,AR
HBIN006987,NR3C2
HBIN006987,PGR
HBIN006987,ESR1
HBIN006987,NCOA2
HBIN006987,AR
HBIN007288,FASN
HBIN007288,MAOB
HBIN007288,MGST1
HBIN007288,PGR
HBIN007288,PTGS1
HBIN007288,PTGS2
HBIN007288,TP53
HBIN007288,GSK3B
HBIN007288,PRSS1
HBIN007288,NOS2
HBIN007288,CCNA2
HBIN007288,ESR1
HBIN007288,PIM1
HBIN007288,MAPK14
HBIN007288,PPARG
HBIN007288,ESR2
HBIN007288,ACHE
HBIN007288,AR
HBIN007288,CDK2
HBIN007288,DPP4
HBIN007288,DPEP1
HBIN007288,CA2
HBIN007446,PRSS1
HBIN007665,LYZ
HBIN007665,DPP4
HBIN007665,PRSS3
HBIN007665,PRSS1
HBIN007867,ADRA2A
HBIN007867,IGHG1
HBIN007867,MAOA
HBIN007867,MAOB
HBIN007867,PTGS2
HBIN007867,PRSS1
HBIN007867,CA2
HBIN007867,CDK2
HBIN007891,ADRA1A
HBIN007891,CHRM1
HBIN007891,MAOB
HBIN007891,NOS2
HBIN007891,PTGS1
HBIN007891,PTGS2
HBIN007891,ADRA1D
HBIN007995,PRSS1
HBIN008360,ADRB2
HBIN008360,CHRM1
HBIN008360,MAOB
HBIN008360,PTGS1
HBIN008360,PTGS2
HBIN008360,SLC6A2
HBIN008360,SLC6A4
HBIN008360,PPARG
HBIN008360,NOS2
HBIN008360,DPEP1
HBIN008360,CDK2
HBIN008360,DPP4
HBIN008360,ADRA2B
HBIN008360,GABRA1
HBIN008360,ESR1
HBIN008663,ADRB1
HBIN008663,ADRB2
HBIN008663,MAOA
HBIN008663,MAOB
HBIN008663,PTGS1
HBIN008663,PTGS2
HBIN008663,SLC6A2
HBIN008663,SLC6A3
HBIN008663,ADRA1B
HBIN008663,CA2
HBIN008663,DPP4
HBIN008663,ADRA2C
HBIN008663,CHRM2
HBIN008663,DPEP1
HBIN008663,PRSS1
HBIN008663,CTRB1
HBIN008944,PRSS1
HBIN008944,PRSS3
HBIN008944,BCHE
HBIN009359,AR
HBIN009359,CALM3
HBIN009359,CCNA2
HBIN009359,CDK2
HBIN009359,ESR1
HBIN009359,ESR2
HBIN009359,GSK3B
HBIN009359,NOS2
HBIN009359,PRSS1
HBIN009359,PTGS1
HBIN009359,PTGS2
HBIN009359,NCOA1
HBIN009359,PPARG
HBIN009359,PIM1
HBIN009359,CHEK1
HBIN009359,MAPK14
HBIN009359,CA2
HBIN009785,CALM3
HBIN009785,KCNH2
HBIN009785,PTGS1
HBIN009785,PTGS2
HBIN009785,SCN5A
HBIN009785,CCNA2
HBIN009785,NOS2
HBIN009785,DPP4
HBIN009785,NCOA2
HBIN009785,AR
HBIN009785,ESR1
HBIN009785,F7
HBIN009785,ACHE
HBIN009785,PRSS1
HBIN009785,ESR2
HBIN009785,PPARG
HBIN009785,PIM1
HBIN009785,GSK3B
HBIN009785,CA2
HBIN010180,AR
HBIN010180,PGR
HBIN010180,ESR1
HBIN010184,NR3C2
HBIN010184,PGR
HBIN010184,NCOA2
HBIN010184,ESR1
HBIN010184,AR
HBIN010184,NR3C1
HBIN010207,PGR
HBIN010207,ESR1
HBIN010207,AR
HBIN010400,PDE3A
HBIN010400,CHRM1
HBIN010400,AR
HBIN010400,DPEP1
HBIN010400,NOS2
HBIN010400,PTGS2
HBIN010400,MAOB
HBIN010400,ADRA2A
HBIN010400,CA2
HBIN010400,ADRA1D
HBIN010400,LTA4H
HBIN010400,ADRB1
HBIN010400,DPP4
HBIN010400,PPARG
HBIN010400,PRSS1
HBIN010400,SLC6A3
HBIN010400,SLC6A2
HBIN010400,ADRA1B
HBIN010400,ADRB2
HBIN010400,ACHE
HBIN010400,ESR1
HBIN010673,CTSD
HBIN010673,PRSS1
HBIN010884,CA2
HBIN010884,ESR1
HBIN010884,AR
HBIN010884,DPP4
HBIN011060,CDK2
HBIN011060,ESR1
HBIN011060,GSK3B
HBIN011060,CCNA2
HBIN011060,PPARG
HBIN011060,CHEK1
HBIN011719,CLCNKB
HBIN011719,CYP2C8
HBIN011719,CYP3A4
HBIN011719,GSTM1
HBIN011719,GSTP1
HBIN011719,TNF
HBIN011719,KCNK5
HBIN011719,LYZ
HBIN011719,PRSS1
HBIN011869,RXRA
HBIN011869,PIM1
HBIN011869,ADRB2
HBIN011869,SCN5A
HBIN011869,CHRNA7
HBIN011869,PTGS1
HBIN011869,ESR2
HBIN011869,GABRA1
HBIN011869,AR
HBIN011869,CDK2
HBIN011869,CHRM1
HBIN011869,ESR1
HBIN011869,PTGS2
HBIN011869,ACHE
HBIN011869,OPRM1
HBIN011869,PDE3A
HBIN011869,DPP4
HBIN011869,NOS2
HBIN011869,GSK3B
HBIN011869,CA2
HBIN011869,ADRA1B
HBIN011869,DRD1
HBIN011869,ADRA1D
HBIN011975,CHRNA2
HBIN011975,ACHE
HBIN011975,DPP4
HBIN011975,PRSS1
HBIN011975,GABRA1
HBIN012338,PRSS1
HBIN012338,CA2
HBIN012338,LYZ
HBIN012366,ACHE
HBIN012366,ADRA1A
HBIN012366,ADRB1
HBIN012366,ADRB2
HBIN012366,APAF1
HBIN012366,XIAP
HBIN012366,BIRC5
HBIN012366,ATP1A1
HBIN012366,ATP1A2
HBIN012366,ATP1A3
HBIN012366,ATP12A
HBIN012366,ATP1A4
HBIN012366,ATP2A1
HBIN012366,ATP2A2
HBIN012366,ATP2A3
HBIN012366,ATP4A
HBIN012366,BAX
HBIN012366,CCND1
HBIN012366,BCL2
HBIN012366,BID
HBIN012366,CASP3
HBIN012366,CASP9
HBIN012366,CDK4
HBIN012366,CHRM1
HBIN012366,CYP3A4
HBIN012366,ESR1
HBIN012366,JUN
HBIN012366,KLKB1
HBIN012366,MMP2
HBIN012366,MMP9
HBIN012366,PPARG
HBIN012366,PRNP
HBIN012366,PTGS2
HBIN012366,RELA
HBIN012366,SCN5A
HBIN012366,SLC6A2
HBIN012366,SLC6A3
HBIN012366,SLC6A4
HBIN012366,TP53
HBIN012366,TNFRSF10B
HBIN012366,CFLAR
HBIN012366,GDF15
HBIN012366,ATP2C2
HBIN012366,DUSP10
HBIN012366,ATP11B
HBIN012366,ATP13A1
HBIN012366,ATP10A
HBIN012366,ATP8B2
HBIN012366,ATP8B4
HBIN012366,ATP11C
HBIN012366,DPEP1
HBIN012366,PDE3A
HBIN012366,ADRA1D
HBIN012366,NOS2
HBIN012366,CA2
HBIN012366,ADRA1B
HBIN012366,DPP4
HBIN012366,LTA4H
HBIN012366,AR
HBIN012422,CA9
HBIN012564,CALM3
HBIN012564,ESR1
HBIN012564,PTGS2
HBIN012564,CA2
HBIN012564,PPARG
HBIN012564,AR
HBIN012564,NOS2
HBIN012667,DPP4
HBIN012667,CCNA2
HBIN012667,GSK3B
HBIN012667,ESR1
HBIN012667,PPARG
HBIN012667,CA2
HBIN012667,DPEP1
HBIN012667,PRSS1
HBIN012667,CDK2
HBIN012667,AR
HBIN012818,ALOX5
HBIN012818,FAS
HBIN012818,FASLG
HBIN012818,BAX
HBIN012818,BCL2
HBIN012818,BCL2L1
HBIN012818,CASP3
HBIN012818,CASP9
HBIN012818,DDIT3
HBIN012818,FASN
HBIN012818,FTL
HBIN012818,GCLC
HBIN012818,GCLM
HBIN012818,HMOX1
HBIN012818,NFE2L2
HBIN012818,PPARG
HBIN012818,TRPV1
HBIN012818,CFLAR
HBIN012818,GDF15
HBIN012818,KEAP1
HBIN012818,TBK1
HBIN012818,AKR1B10
HBIN012818,GGTLC1
HBIN012857,CA2
HBIN012857,RXRA
HBIN012857,NOS2
HBIN012857,ACHE
HBIN012857,PPARG
HBIN012857,PTGS1
