ADA
POTEF
BEND7
RPL13
RBBP4
RPL36
RPL4
RPS3
C1QBP
LRP4
KPNA1
CCNI2
HSPA8
LARP1B
CDK5
CD33
SLC39A11
PEX19
CALM3
COMMD3
DRG2
MAPK13
FAM187B
VRK2
CANX
HSPA5
SPPL2B
SLC25A6
RPL23
TUBA1A
TUBA1C
SOAT1
MOSPD2
HAO1
KCNAB2
HSPBP1
ELF2
KIAA0930
YWHAQ
SFN
YWHAE
YWHAZ
YWHAH
CDK5RAP1
KLHL11
ATG7
WRN
SIRT2
CCAR2
CEP170
TUBB3
TUBB8
MCC
LPGAT1
ACTBL2
LRRC28
HSPD1
HSP90AB4P
HSPA1L
SUGT1
AMBRA1
MAGEA10
KAT2A
KAT2B
NCOA2
KAT14
YEATS2
MAGEA9B
ACTB
CUX1
SLF1
PHF8
SATB2
NRIP1
ZZZ3
RPS4X
QSER1
ERI1
VPS37C
FOXJ2
PES1
TADA3
FAM216A
PKN1
POU2F1
CCDC106
CCHCR1
CRTC3
VPS72
ARPC1B
POGK
NT5C
PPID
UROD
PPM1K
DBT
BCKDHB
BCKDHA
RRS1
RPLP2
RPLP1
NCL
YBX1
CCDC137
RBM28
SF3B1
NOC4L
RPS3A
RPS14
ILF3
SRPK2
DHX30
HP1BP3
DHX57
RPS16
APOBEC3C
RBM19
ZCRB1
RPL18
RPL8
ZC3HAV1
GRSF1
MRPS34
DAP3
RRP1B
MRPS7
RPS20
RPS19
MRPS31
RPS15
GPATCH4
MRPS9
KRR1
BRIX1
ZNF512
RPL17
RPSA
RPL15
NOC3L
RPL23A
RPS13
RPS28
RPL32
NSA2
RBMS1
MRPS35
RPS9
RPS18
RPS17
FYTTD1
RBM34
TRIM71
RBM4
PURB
PURA
RPS25
SF3B4
SRSF4
SRSF5
STAU1
GLE1
FARS2
RPS24
RPS5
SCAF4
NIP7
SRSF3
RPL34
H2AC20
RPL35A
RPS26
FAU
MRPL52
TPST1
VASH1
EBNA1BP2
LYAR
H1-1
H1-4
MYBBP1A
RPL26
RSL1D1
DDX21
RPS8
RPL28
RPL18A
TPM2
RPL7A
RPL27A
RPL30
RPL13A
C20orf96
HTR1E
ATP5F1B
INHA
PDIA3
CALR
IKBKG
LMX1B
MAB21L1
PKNOX2
PARS2
PBX1
PBX2
PBX3
MEIS1
MEIS2
CDCA7
YWHAG
POPDC2
ANK2
TPCN1
ANO6
SLC12A9
RHBDD3
LRRC8C
PSRC1
PRMT2
RAE1
AGGF1
PRIM2
BUB1B
PRIM1
RIC3
PHB
ERLIN2
NCAPG2
DNAJC11
NCAPD3
USP22
HMGCR
PHB2
SLC30A5
RMND1
TAPT1
NCAPH2
TMUB1
LRBA
SLC30A6
ATP9A
ACKR3
ATP5F1A
ATP5F1D
ATP5PO
TSSK1B
CEP131
GPHN
CRYBG3
GAPVD1
SNX24
USP46
SNX6
SNX2
PHLPP2
VSX1
CSNK2A2
CSNK2A1
CSNK2B
USP12
TOMM7
AMY2A
TOMM40L
ATP5ME
DNAJC28
SLC19A2
CERS2
ATP8
MT2A
PLS1
PTER
PCDHGA5
CMC4
GFER
NBR2
PITRM1
GMIP
AGO4
NOP10
SRSF1
SNRNP70
CRNN
OAZ1
ACTA2
LCN2
POLR2L
SERPINB8
SERPINB7
DSG1
HAL
SERPINB12
RPRD2
ARG1
TGM3
POF1B
PKP1
CPA4
SDR9C7
ALOX12B
SERPINA12
CDSN
PLBD1
SERPINB13
SERPINB2
NCCRP1
CTDP1
WWP2
RPS21
NME2P1
THNSL1
RPL31
SBDSP1
PDCD1LG2
SELENOF
TTR
SERPINA1
HBB
ST13
NELL2
UQCR10
UQCRB
UQCRC2
COX7A2L
PTGES2
UQCRQ
ABCB10
CYTB
UQCRH
COX6B1
TSPAN6
ATP5MK
C16orf74
PPP3CC
ZER1
KLHL20
ADO
COX17
TTC19
SUOX
COX7C
COX6C
COX4I1
MYO18A
TMBIM6
COX5B
DEFB106A
CST6
TGM1
PCYOX1L
CTSV
EMC3
RNASE7
CEMIP2
IL37
EMC7
EMC4
CES3
EMC8
DEFB123
PFDN4
PFDN2
CACNA2D2
CACNA2D1
PFDN1
SORL1
VBP1
PFDN5
COL6A2
PFDN6
TMEM67
LDLR
LRP1B
CTBS
SMIM11A
VMA21
TTYH3
GNG10
GNB4
GNAO1
GNAI1
GNAZ
GNG5
LENEP
MACROH2A1
H1-3
H1-2
CENPV
NMNAT1
ZNF800
SRSF12
MRPL33
MRPL45
MRPL9
MRPL39
MRPL10
MRPL24
MRPL22
MRPL27
MRPL47
MRPL58
MRPL4
MRPS18A
MRPL20
MRPL23
MRPL51
ANAPC13
FBXO5
ATP6V0E1
ATP6V0A2
ATP6V0A1
ATP6AP2
REEP5
PIGG
SLC7A2
ATP6AP1
TMEM199
PTPRF
CCDC115
GNG3
GNA11
GNAQ
GNA13
FLNC
GNAI2
GNAT2
GNAS
PDCL
GNG4
GNAI3
KCTD17
H2BC11
FGG
FGB
FGA
USP48
MDM2
IER3IP1
VPS13C
LSM6
WDR77
WBP4
COPRS
SNRPE
LSM10
GEMIN2
MED9
STX8
MZT1
TUBGCP2
PCNT
TUBGCP5
TUBGCP4
TUBGCP3
TUBGCP6
MZT2A
MZT2B
NME7
NRGN
TRIM62
EFCAB7
NUPR1
SEMG2
SEMG1
C5orf46
PKIG
TYMS
PRKACG
PRKACB
ROMO1
ERAP1
SMR3B
CRTAP
BCHE
SNRPG
TFIP11
CWF19L2
SNRNP35
PAXBP1
WDR83
AKAP7
ESS2
PPIE
SNRNP27
ZRSR2
SF3B6
TGS1
ZMAT5
CENATAC
TRIAP1
MED29
JCHAIN
TRIP11
YWHAB
TSC22D3
CEP55
BPIFA2
IGHA2
CST1
CST4
WFDC10A
ZZEF1
HECTD3
ZC3H11A
CELSR1
BLK
DCAF1
ZNF574
FAT3
FAT1
FREM2
FAT4
HIRA
PCDH7
CABIN1
ZBTB10
THAP12
TERF2
TERF2IP
CBWD1
ZNF446
CELSR2
ZNF496
ZBTB33
ADGRV1
FZD3
C5orf22
PCDHGC3
CELSR3
E4F1
ZNF511
DCHS1
CDC42SE1
EIF5B
MIPEP
FHL2
BTBD1
CKS1B
CDT1
CCNB2
GMNN
CCNE1
CUL1
CKS2
CILK1
CCNE2
EEF1A2
PKMYT1
COX7A2
TOP3A
NDUFAF7
DNLZ
CRIP1
PPP2R5E
TK1
CTNNBIP1
PNMA2
BPGM
DEFB104A
IFI30
DEFB121
SEL1L
CPS1
OS9
VWDE
DYNLT2B
DPH3
DPH2
ATE1
ACBD7
SRC
ACOX1
OGDHL
HPCAL1
SUGP1
TBC1D24
PAG1
CDC42SE2
SSC5D
CHCHD7
S100A6
COMMD6
MFAP3
EMB
VPS33B
S100B
CHCHD4
H3-2
DYNLL1
WWC2
KDM1A
SOGA1
MTCL1
RELCH
KTN1
EML3
CTTNBP2NL
CTTNBP2
DLG5
ZMYM3
ZMYM4
IFFO2
IFFO1
STRIP2
STRIP1
PRKAR2B
DYNC1H1
FAM83D
STRN
STRN3
STRN4
ZNF608
ZNF609
AKAP9
UHRF1BP1L
MORC3
TLK2
TLK1
HMMR
CEP152
GOLGB1
TRPS1
KANK1
CDK5RAP2
AMOT
AMOTL1
BORA
NDE1
NDEL1
RSBN1L
RSBN1
KIF5A
TRAK1
OFD1
CDC42BPG
USP28
ZMYM6
FAM117A
SPAG5
XRCC4
RCOR2
RCOR3
RCOR1
CCSER1
N4BP2
FBXO38
BACH1
ZMYM2
ANKRD20A2P
ANKRD20A4P
PDZRN3
CDR2
SECISBP2L
MOB4
CCSER2
GLCCI1
XIAP
CIZ1
KMT2C
PXN
CDADC1
C4orf46
KNSTRN
FAM172A
KCNQ5
CCDC136
FBXO30
DYRK1A
STOX2
ATMIN
MIGA1
ADNP
FAM171A1
FAM171A2
DEDD
IGSF3
MCL1
WDR13
RERE
BCL2L1
RNF41
DYNLL2
TP53BP1
DYNC2I1
OPTN
PALD1
ANKRD20A1
TAX1BP1
AMOTL2
SCML1
DYNC1I2
USP25
KDM6A
WWC1
DDHD1
PPFIBP1
PRMT3
DIABLO
DYNC1LI2
CEP20
MPHOSPH9
NEK9
CEP170B
MTPAP
TTC3
CDR2L
ZSCAN5A
PAXIP1
DYNC2I2
STXBP4
ZNF710
JCAD
ELL
YAP1
NHSL1
BCL2L11
NCOA6
FXYD1
GOPC
ATP6V1D
NDRG1
PRTFDC1
NDRG4
NDRG3
SPINK4
GCHFR
EIF4G1
HBS1L
OBSL1
IRF2BP2
CAMKK2
DOCK11
QRICH1
NEBL
PUSL1
CBFB
GNRH1
TRIM68
MALSU1
GYPB
EIF2B5
PWP2
EIF2B1
EIF2B4
BZW2
BZW1
RTN1
FLVCR1
ESRRA
UTP20
PDS5B
PDS5A
TCAF2
ATR
SHCBP1
IP6K1
ARFGEF2
HEATR3
DNM2
DNM3
SMYD4
FANCG
UBE4A
RANBP6
ERCC4
METTL15
SLC39A10
TNPO2
SEC62
EIF2B3
ASPHD2
COG1
RTN2
LRRC8A
COG4
LPCAT3
RANBP17
EIF2B2
TFB2M
ARL6IP5
MAD2L2
TSPAN15
CPLX1
STAG2
HIGD1A
ATP1A3
IPO13
C1orf112
HMGN2
CHMP1A
KLHL36
GBE1
ISG20
PTPRG
CSNK1G3
EEPD1
KRTAP19-4
ZMPSTE24
CCT6B
FAM136A
NLN
PLGRKT
EXOG
LSM5
LSM8
PRPF6
ZGPAT
TUT1
RDH13
POLH
PATL1
SNRPD2
MEPCE
RBM42
TMCO6
SNRPD3
HAPLN3
LYRM2
OXSM
ACADS
MANBAL
MRPL34
RBIS
SLC27A2
RPL38
UTP11
HBZ
RPL19
RAP1A
MRPL28
MRPL50
MUCL1
PDIA5
NDUFA4L2
HSP90AA4P
POTEI
PLXNB1
HBA2
SMPX
RPL37A
RPF1
KNOP1
DDX24
FTSJ3
MYEF2
ZFP62
TAF1A
DDX56
DDX27
CEBPZ
GLYR1
REXO4
DDX31
NSD2
C7orf50
RRP8
TENT4B
UTP23
NPM1
NOP2
NOP53
TUBA8
LLPH
SART3
GNL2
CENPN
RPL7L1
MPHOSPH10
RPF2
PRDM15
SRSF6
SART1
BUD13
PPAN-P2RY11
CDK12
ZNF770
ZC3H10
ZNF22
TAF1C
RPS27
FUS
TUBA4A
ATP7A
PPP2R5D
EXOC7
NELFE
WDHD1
SYMPK
STK24
STK26
GEMIN5
BOD1
STXBP2
CAND2
STAMBP
FAM204A
KLC2
HAUS1
LIG1
ANKHD1
ANKRD17
INTS5
MBD3
TGFBRAP1
PRPSAP1
SIKE1
INTS8
CKAP2
KDM1B
EFR3B
OPA1
PKN3
NELFB
STX18
UTP6
RPRD1A
EXOC1
PSMC6
CCDC14
PSMC3
CCZ1
UGP2
EPN1
RIBC1
RGPD5
RANBP2
PSMD9
HMG20B
DSN1
SPC24
GFPT2
UFL1
GNL3L
ERCC1
VWA8
INTS6
INTS6L
CTU2
KIF18B
RARS2
TOX2
SALL1
DTYMK
TRAPPC5
PHGDH
KATNAL1
PTRHD1
RAD17
ECPAS
SPICE1
MALT1
VPS26A
DPH6
DIAPH2
TBK1
PI4KB
GRIPAP1
MIS12
PUS7
CDCA7L
ATG2A
CWC22
SKA1
STXBP5
UCP2
DENND1B
INPP1
CEP128
VPS35
HSF2
HSF1
FMC1
NEDD1
CCDC88A
TBCD
SPC25
RMDN1
ABHD11
BCL2L12
ABCF3
RIPK1
CCDC28B
RAD51D
ZNF821
TRIM11
PEX6
ING3
AKAP10
PPTC7
OSBPL3
AP3S2
INF2
VPS26B
CTF1
SPAG1
LONRF2
TRADD
S100A8
EFHD1
GOT1
SMTNL2
CDC45
IQGAP1
IQGAP2
ATAD5
REXO5
FOXO3
MAP7
SALL3
SALL2
METTL25
ATAD3B
ATAD3A
TIGD4
MYO1E
ZNF709
TXNIP
ZNF714
ZNF3
ZNF136
ZNF516
METTL18
JAK1
ZNF507
NR2C2
ZBTB21
FLYWCH2
RICTOR
NOP14
CDKN2AIP
ALAS1
PML
UTP14A
ZC3HC1
SENP5
PPP1R13L
PLEKHG3
ORC6
NSUN2
POLD1
UBE3B
PEAK1
SGO2
RAVER1
MAP7D3
FAM207A
POLDIP3
BCL7A
BCL7B
RESF1
RAB11FIP1
CCDC102A
AHCTF1
SCML2
MTMR12
CCDC8
KDM3B
CTU1
HIC2
PIF1
SYDE2
SLF2
SENP2
CDK17
CDK18
CNTROB
ZNF451
