Ingredient_id,Target_name
HBIN000071,CHRM1
HBIN000071,PTGS2
HBIN000071,NOS2
HBIN000071,GABRA1
HBIN000071,CHRM3
HBIN000071,CHRNA7
HBIN000071,ESR1
HBIN000071,AR
HBIN000071,DPP4
HBIN000643,ACLY
HBIN000643,PLIN2
HBIN000643,ADSL
HBIN000643,BIRC3
HBIN000643,FAS
HBIN000643,FASLG
HBIN000643,ATF3
HBIN000643,BACH1
HBIN000643,BCL3
HBIN000643,CASP3
HBIN000643,CASP8
HBIN000643,CASP9
HBIN000643,TNFRSF8
HBIN000643,CYP27A1
HBIN000643,EGR1
HBIN000643,CTTN
HBIN000643,ENG
HBIN000643,FDXR
HBIN000643,GATA2
HBIN000643,GP1BB
HBIN000643,CXCL2
HBIN000643,CXCL3
HBIN000643,GYPA
HBIN000643,HLA-DPA1
HBIN000643,HLA-DPB1
HBIN000643,HMOX1
HBIN000643,HES1
HBIN000643,HSPA1A
HBIN000643,HSPA1B
HBIN000643,HSP90AA1
HBIN000643,DNAJB1
HBIN000643,IL6
HBIN000643,CXCL8
HBIN000643,ITGA2B
HBIN000643,JARID2
HBIN000643,JUN
HBIN000643,KCND1
HBIN000643,ABCC1
HBIN000643,PPP1R12A
HBIN000643,NFKBIA
HBIN000643,SERPINF1
HBIN000643,PRTN3
HBIN000643,PTPN3
HBIN000643,RELB
HBIN000643,RPL5
HBIN000643,RPL15
HBIN000643,SH3BP2
HBIN000643,ST3GAL3
HBIN000643,SORL1
HBIN000643,TFRC
HBIN000643,TNF
HBIN000643,TNFAIP6
HBIN000643,TOP1
HBIN000643,TOP2A
HBIN000643,TOP2B
HBIN000643,TOP3A
HBIN000643,TXNRD1
HBIN000643,NCK2
HBIN000643,EIF3A
HBIN000643,SRSF9
HBIN000643,TOP3B
HBIN000643,TTLL4
HBIN000643,KEAP1
HBIN000643,AREL1
HBIN000643,KLF2
HBIN000643,ARL6IP5
HBIN000643,NEU3
HBIN000643,POLR1G
HBIN000643,PHLDA1
HBIN000643,TMEM158
HBIN000643,GGA1
HBIN000643,ERO1A
HBIN000643,PDE11A
HBIN000643,EIF3L
HBIN000643,TLR9
HBIN000643,DDIT4
HBIN000643,EVA1B
HBIN000643,STEAP3
HBIN000643,RAB22A
HBIN000643,PRUNE1
HBIN000643,PRDM12
HBIN000643,RTN4R
HBIN000643,CHAC1
HBIN000643,RILP
HBIN000643,SESN2
HBIN000643,DGAT2
HBIN000643,KLHDC7B
HBIN000643,TOP1MT
HBIN000643,GABPB2
HBIN000643,NANP
HBIN000643,NANOS1
HBIN000643,SCIMP
HBIN000643,ZBTB42
HBIN000689,SQLE
HBIN000689,KMO
HBIN000689,COQ6
HBIN000799,CALM3
HBIN000799,CCNA2
HBIN000799,CDK2
HBIN000799,ESR1
HBIN000799,GSK3B
HBIN000799,PTGS2
HBIN000799,NOS2
HBIN000799,CA2
HBIN000799,CHEK1
HBIN000799,PPARG
HBIN000799,PDE3A
HBIN000799,AR
HBIN000799,PRSS1
HBIN000799,DPP4
HBIN000799,F7
HBIN000799,MAPK14
HBIN000799,PIM1
HBIN001079,CHRM1
HBIN001079,CHRM2
HBIN001079,CHRM3
HBIN001079,DPP4
HBIN001079,ACHE
HBIN001079,GABRA1
HBIN001080,CHRM1
HBIN001080,IGHG1
HBIN001080,NR3C2
HBIN001080,GABRA1
HBIN001080,PRSS1
HBIN001080,NR3C1
HBIN001080,DPP4
HBIN001080,CHRM2
HBIN001080,AR
HBIN001587,ACHE
HBIN001587,PRSS1
HBIN001587,GABRA1
HBIN001647,ADRB2
HBIN001647,CALM3
HBIN001647,PTGS1
HBIN001647,PTGS2
HBIN001647,SCN5A
HBIN001647,DPP4
HBIN001647,CDK2
HBIN001647,CA2
HBIN001647,ESR2
HBIN001647,PIM1
HBIN001647,NCOA2
HBIN001647,ADRA1B
HBIN001647,PDE3A
HBIN001647,ESR1
HBIN001647,CHEK1
HBIN001647,CCNA2
HBIN001647,MAPK14
HBIN001647,AR
HBIN001647,NOS2
HBIN001647,LTA4H
HBIN001647,PRSS1
HBIN001647,GSK3B
HBIN001647,PPARG
HBIN002000,CALM3
HBIN002000,KCNH2
HBIN002000,PTGS2
HBIN002000,PPARG
HBIN002000,CHEK1
HBIN002000,CCNA2
HBIN002000,PRSS1
HBIN002000,ESR1
HBIN002000,AR
HBIN002000,MAPK14
HBIN002000,CDK2
HBIN002000,ESR2
HBIN002000,NOS2
HBIN002000,DPP4
HBIN002000,NCOA2
HBIN002000,GSK3B
HBIN002102,PIM1
HBIN002102,ACHE
HBIN002102,PRSS1
HBIN002102,GABRA1
HBIN002102,DPP4
HBIN002102,PTGS2
HBIN002102,CA2
HBIN002102,CHRNA2
HBIN002161,GABRA1
HBIN002161,PRSS1
HBIN002161,CA2
HBIN002161,ACHE
HBIN002584,CNN3
HBIN002818,PTGS1
HBIN002818,PPARG
