Syndrome_id,SYMBOL
Syndrome 4,A1BG
Syndrome 4,A1CF
Syndrome 4,A2ML1
Syndrome 4,AARS1
Syndrome 4,ABAT
Syndrome 4,ABCA1
Syndrome 4,ABCA10
Syndrome 4,ABCA12
Syndrome 4,ABCA13
Syndrome 4,ABCA2
Syndrome 4,ABCA3
Syndrome 4,ABCA4
Syndrome 4,ABCA5
Syndrome 4,ABCA7
Syndrome 4,ABCA9
Syndrome 4,ABCB10
Syndrome 4,ABLIM3
Syndrome 4,ACADM
Syndrome 4,ACBD6
Syndrome 4,ACOX1
Syndrome 4,ACP1
Syndrome 4,ACP3
Syndrome 4,ACP4
Syndrome 4,ACP5
Syndrome 4,ACP7
Syndrome 4,ACR
Syndrome 4,ACTR6
Syndrome 4,ADAM12
Syndrome 4,ADAMTSL4
Syndrome 4,ADAT1
Syndrome 4,ADGRD1
Syndrome 4,ADGRD2
Syndrome 4,ADGRE1
Syndrome 4,ADGRE2
Syndrome 4,ADGRE3
Syndrome 4,ADGRF1
Syndrome 4,ADGRF2
Syndrome 4,ADGRF3
Syndrome 4,ADGRF4
Syndrome 4,ADGRF5
Syndrome 4,ADGRG2
Syndrome 4,ADGRG3
Syndrome 4,ADGRG4
Syndrome 4,ADGRG5
Syndrome 4,ADGRG6
Syndrome 4,ADGRG7
Syndrome 4,ADGRL1
Syndrome 4,ADGRL2
Syndrome 4,ADGRL3
Syndrome 4,ADGRL4
Syndrome 4,ADH1A
Syndrome 4,ADNP
Syndrome 4,ADPRM
Syndrome 4,ADRA1D
Syndrome 4,ADRA2A
Syndrome 4,ADRB1
Syndrome 4,ADRB2
Syndrome 4,ADSS1
Syndrome 4,AGA
Syndrome 4,AGMAT
Syndrome 4,AGXT
Syndrome 4,AGXT2
Syndrome 4,AHCYL1
Syndrome 4,AHSG
Syndrome 4,AIG1
Syndrome 4,AKAP12
Syndrome 4,AKIRIN1
Syndrome 4,ALDH1A1
Syndrome 4,ALDH2
Syndrome 4,ALDH9A1
Syndrome 4,ALG10
Syndrome 4,ALG13
Syndrome 4,ALG14
Syndrome 4,ALKAL2
Syndrome 4,ALMS1
Syndrome 4,AMIGO1
Syndrome 4,AMN1
Syndrome 4,AMY1A
Syndrome 4,AMY1C
Syndrome 4,AMY2A
Syndrome 4,ANAPC10
Syndrome 4,ANAPC4
Syndrome 4,ANGPT2
Syndrome 4,ANGPTL8
Syndrome 4,ANKMY2
Syndrome 4,AOC2
Syndrome 4,AP1B1
Syndrome 4,AP3M2
Syndrome 4,APBA3
Syndrome 4,APCDD1
Syndrome 4,APLP1
Syndrome 4,APOB
Syndrome 4,APOC2
Syndrome 4,APOF
Syndrome 4,APOH
Syndrome 4,APOLD1
Syndrome 4,APP
Syndrome 4,APPL2
Syndrome 4,AQP11
Syndrome 4,ARFGEF1
Syndrome 4,ARG1
Syndrome 4,ARHGAP11A
Syndrome 4,ARHGAP27
Syndrome 4,ARHGAP35
Syndrome 4,ARHGAP44
Syndrome 4,ARHGAP45
Syndrome 4,ARHGDIB
Syndrome 4,ARID2
Syndrome 4,ARL15
Syndrome 4,ARMCX5
Syndrome 4,ARNTL2
Syndrome 4,ARRDC2
Syndrome 4,ART4
Syndrome 4,ARVCF
Syndrome 4,ASNS
Syndrome 4,ASPRV1
Syndrome 4,ASPSCR1
Syndrome 4,ASTE1
Syndrome 4,ATG16L2
Syndrome 4,ATG2A
Syndrome 4,ATG9A
Syndrome 4,ATL1
Syndrome 4,ATL2
Syndrome 4,ATP2C1
Syndrome 4,ATP5F1B
Syndrome 4,ATP6V1E2
Syndrome 4,AUH
Syndrome 4,AZU1
Syndrome 4,B3GLCT
Syndrome 4,BANP
Syndrome 4,BBS12
